variant,objective,features,denominator,hits,recall_at_20,best_iteration,fit_seconds,model_sha256,weighted_recall_at_20,chosen
core,carts,28,5931,2548,0.42960714887877255,1,8.435620978000003,c9bf8cd5f048d9a00fe896d7a324abd09087bf1e86e9d272daa4414b33b5e360,0.5756869000344528,False
core,clicks,28,19219,8984,0.46745408189812165,1,8.579279681000003,55d5539dfd72755b567b6a6de01bd9ad454fe304a0ea4d5396c2ecb4750a5e2e,0.5756869000344528,False
core,orders,28,3370,2247,0.6667655786350148,20,11.565873523999983,2382ec7e2e0852bd85553402894993569a1bdfd437f3fd2b410a01eca80ed295,0.5756869000344528,False
full,carts,128,5931,2560,0.4316304164559096,1,14.83249562200001,fc21c90584cba171ebe85aee18f00da4074d5d1c398ffaf48de8178b76df8671,0.5764026839874341,False
full,clicks,128,19219,9176,0.4774441958478589,145,54.047383080999964,eb3cead55d3d783d37dfa75fab27c058efefe7019e11eee986e606e04d041a79,0.5764026839874341,False
full,orders,128,3370,2242,0.6652818991097923,1,14.050630350999995,874b8eb5a6a3d76f69b90d3ab12acc666bc16df7610b131a199f0f003c8b4606,0.5764026839874341,False
without_context,carts,109,5931,2534,0.4272466700387793,1,13.504522593999923,542328bbc32cf0d6492ecdd05ffd73a39191a37126cff8f0ac187865528632c4,0.5773385286342896,False
without_context,clicks,109,19219,9198,0.4785888964045996,180,56.90401958299992,3c480d3684e1f483ac1a7b8fb2d366797b4f2d932b5da6a04b8af54fb0b2d8ba,0.5773385286342896,False
without_context,orders,109,3370,2254,0.6688427299703265,65,28.14181018399995,c770e2fc633ca40510b697c669199f201b17a61a5ec3a0bf4d5e1e17a3ec0b64,0.5773385286342896,False
without_graph,carts,123,5931,2506,0.42252571235879277,1,14.028594614999975,d164659331fa3b865f42ed5962fbcbf5b676addeb22f4b366bef876c802c01c5,0.5743786989375421,False
without_graph,clicks,123,19219,9004,0.46849471876788595,170,57.264422268999965,247bcaaccf18a1481165d37d4ebe0e25b8df9cf48c6aa60cd84750124acf159a,0.5743786989375421,False
without_graph,orders,123,3370,2251,0.6679525222551929,10,15.559690058000001,c0d3367966985121427f91b0f74d94c208d7c7aabb6f5d9151d14caf56f8d128,0.5743786989375421,False
without_history,carts,71,5931,2525,0.4257292193559265,1,10.419874553999989,a34e65c0ea24fef2ad69a0d57afcad0e548b0ee294e7480bd36c742b374f7c02,0.5732794969267456,False
without_history,clicks,71,19219,8916,0.46391591654092307,1,10.236621419000016,2333cafc5c7701c2674839d67c2549922aaf357795025acc8fcb226bc7d914ae,0.5732794969267456,False
without_history,orders,71,3370,2242,0.6652818991097923,1,9.910127380000063,0978d02f0dfa26f962aacaa4cbc47a904cd4df3ca15eee88ba8d4f3cc9ff7bb2,0.5732794969267456,False
without_interaction,carts,124,5931,2560,0.4316304164559096,1,14.317257497000014,e6ea9044c752344689e4c0e249365d4330013159d861672247af564ebdfcb6b6,0.5759362007548886,False
without_interaction,clicks,124,19219,9189,0.4781206098132057,140,50.72609192300001,08e8a4b0238b7d7b072b22eca26522b3bf0e830cd34c4541a4edeb8c76458691,0.5759362007548886,False
without_interaction,orders,124,3370,2239,0.6643916913946587,1,13.329323225999929,a4644c1961131f0646b2323c9d43295a12cd62051d4686a6556eaa7acac4045e,0.5759362007548886,False
without_repeat,carts,111,5931,2559,0.43146181082448154,1,14.320642311000029,c2757bcd9deea9a6431d5f0bb4ba669d53cceabc5e34853590024c4198ac85a7,0.5747809475168583,False
without_repeat,clicks,111,19219,9182,0.4777563869087882,115,46.454867905000015,5aa5d773871129d4f4024d7a89eb76908e32343e8304590a93abde6f21c63e6e,0.5747809475168583,False
without_repeat,orders,111,3370,2233,0.6626112759643917,1,13.964178523999976,04998c4e81231ac85d22b9e371280b2a44352377fd6d544c34ac36467906f083,0.5747809475168583,False
without_source,carts,102,5931,2712,0.45725847243297923,60,28.506306193,98091bb44aa9d9db28dfb9479a346379d1215d2f4d938868be362e2d671eaa2f,0.5995234305889497,True
without_source,clicks,102,19219,9952,0.5178209063947136,40,24.260596445000033,0d6c5f71b95d48d9e679d0920bf0a50e7d0a87e6db6cca748fd47065be158e85,0.5995234305889497,True
without_source,orders,102,3370,2306,0.684272997032641,95,35.86822603099995,006755a23b88041361e14966b28c694f40233f44bab4d71ae857df92a80158b3,0.5995234305889497,True
