session_type,labels
12899779_clicks,59625 737445 731692 1700255 941596 1253524 1401514 1340695 1660529 159257 277075 830629 1422133 1703327 1246235 637538 475447 1790770 448688 499621
12899779_carts,59625 731692 737445 941596 1340695 1422133 1700255 1660529 475447 159257 637538 1401514 1354960 514164 448688 277075 1253524 1790770 1703327 499621
12899779_orders,59625 731692 737445 1340695 941596 1422133 475447 159257 1401514 1660529 448688 637538 1700255 1354960 499621 514164 1790770 894169 277075 1770962
12899780_clicks,1142000 736515 582732 973453 1502122 889686 487136 636101 1758603 1419849 1586171 1360606 1032776 1344758 1383529 1515511 1660665 618310 1263108 932551
12899780_carts,1142000 582732 736515 973453 1758603 1502122 487136 1419849 636101 595830 1360606 889686 77422 768323 1263108 760500 1660665 1032776 1344758 932551
12899780_orders,1142000 736515 582732 973453 1758603 487136 1263108 1032776 889686 1586171 636101 618310 1660665 1360606 760500 932551 1125638 1344758 595830 409620
12899781_clicks,199008 918667 532314 644935 91240 820257 273625 1446845 1744908 811448 1842407 1714342 937784 1467445 257316 779172 999262 1131549 1022447 1335672
12899781_carts,918667 199008 205149 428697 1714342 1736107 532314 811448 1842407 999262 820257 1467445 1446845 257316 937784 644935 91240 89022 1744908 273625
12899781_orders,199008 918667 428697 532314 1714342 205149 644935 91240 57315 89022 999262 811448 820257 1583317 643158 194067 937784 141736 1200570 1736107
12899782_clicks,595994 1007613 834354 1033148 479970 740494 968960 1262244 1829287 1727935 1408465 892387 652088 1779730 229748 1112446 1494780 1569170 413962 448342
12899782_carts,1007613 834354 1033148 1829287 479970 595994 892387 669573 1522587 652088 596104 740494 1702672 987399 1169987 670423 1262244 1694535 968960 1112446
12899782_orders,987399 740494 127404 1344773 889671 1711180 779477 476063 562753 1494780 834354 413962 595994 1033148 479970 229748 1007613 829180 975116 1696036
12899783_clicks,1817895 562398 573058 943083 1476106 1567973 408787 1803558 607638 73864 455319 141256 871799 1264204 1754419 1216820 255297 1811433 917725 58861
12899783_carts,1817895 1803558 255297 562398 1476106 408787 1218 573058 141256 1754419 943083 1811433 607638 1729553 198385 1216820 58861 73864 1258986 1264204
12899783_orders,1817895 255297 1729553 198385 1803558 1218 1670450 1811433 562398 141256 573058 895178 607638 1476106 1216820 1258986 1754419 100054 1744522 408787
12899784_clicks,1190477 22981 416846 1346702 1581571 1137538 1065741 1455107 1210393 969657 345189 1393177 624476 789777 389930 589191 35749 476216 958642 737037
12899784_carts,1190477 476216 604331 1546830 1455107 969657 550532 229155 267082 22981 958642 1210393 1346702 988806 923332 1137538 1579935 35749 1393177 862939
12899784_orders,1190477 476216 1579935 1036375 22981 1269952 1546830 604331 1455107 229155 496221 267082 862939 1770619 550532 958642 1220197 442293 1265426 969657
12899785_clicks,775584 1497876 453905 258458 1179870 1433061 3875 1511731 1169631 1254866 1442599 1017283 503676 658854 975880 1586990 1855013 1094101 1609990 353191
12899785_carts,1497876 775584 453905 258458 1179870 160666 874493 1433061 383003 544238 1169631 1731669 1511731 1254866 41655 3875 1043228 614626 1065885 217701
12899785_orders,1497876 258458 775584 453905 1154962 1179870 160666 41655 383003 874493 543919 614626 253080 1308865 1433061 503676 970225 95259 10851 544238
12899786_clicks,955252 1632910 1082228 1792771 1186873 1036074 554230 691417 361772 213691 274754 1207659 766200 635058 1215856 135086 302745 1840048 59455 1736098
12899786_carts,955252 1632910 1792771 1699291 361772 691417 355466 1082228 1736098 777554 105905 1186873 302745 554230 1663078 1593281 1207659 213691 962766 635058
12899786_orders,955252 1792771 691417 355466 302745 1736098 1699291 105905 1632910 777554 28674 108357 635058 1663078 1593281 361772 766200 1671915 135086 1186873
